ID;Nome e cognome;Email (chiave);Tipologia stakeholder;Regione;Canale di ingaggio;In database DEM
570;Manuela Marchetti;manuela.marchetti@example.org;Altro / Industry;Liguria;Database DEM;true
571;Giovanna Barbieri;giovanna.barbieri@example.org;HCP - Diabetologo;Lazio;Database DEM;true
572;Elena Romano;elena.romano@example.org;HCP - Medico di medicina generale;Marche;Database DEM;true
573;Giulia Ruggiero;giulia.ruggiero@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
574;Claudio Gentile;claudio.gentile@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
575;Chiara Antonelli;chiara.antonelli@example.org;HCP - Medico di medicina generale;Campania;Database DEM;true
576;Federica Cattaneo;federica.cattaneo@example.org;Altro / Industry;Lazio;Database DEM;true
577;Giacomo Agostini;giacomo.agostini@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
578;Sofia Toscano;sofia.toscano@example.org;HCP - Medico di medicina generale;Lazio;Database DEM;true
579;Mariangela Neri;mariangela.neri@example.org;HCP - Diabetologo;Campania;Database DEM;true
580;Raffaella Bernardi;raffaella.bernardi@example.org;HCP - Diabetologo;Sicilia;Database DEM;true
581;Paolo Mazza;paolo.mazza@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
582;Giovanna Salerno;giovanna.salerno@example.org;HCP - Infermiere / Educatore;Piemonte;Database DEM;true
583;Silvia Vitale;silvia.vitale@example.org;HCP - Endocrinologo;Veneto;Database DEM;true
584;Marco Esposito;marco.esposito@example.org;HCP - Infermiere / Educatore;Veneto;Database DEM;true
585;Michela Salerno;michela.salerno@example.org;HCP - Medico di medicina generale;Sicilia;Database DEM;true
586;Roberto Ferrari;roberto.ferrari@example.org;HCP - Endocrinologo;Campania;Database DEM;true
587;Claudia Cerri;claudia.cerri@example.org;Altro / Industry;Liguria;Database DEM;true
588;Cristina Messina;cristina.messina@example.org;HCP - Endocrinologo;Friuli-Venezia Giulia;Database DEM;true
589;Vittorio Cattaneo;vittorio.cattaneo@example.org;HCP - Medico di medicina generale;Piemonte;Database DEM;true
590;Cristina Pisani;cristina.pisani@example.org;Studio medico / Ambulatorio;Lombardia;Database DEM;true
591;Federico Antonelli;federico.antonelli@example.org;HCP - Diabetologo;Marche;Database DEM;true
592;Sabrina Mancini;sabrina.mancini@example.org;HCP - Diabetologo;Liguria;Database DEM;true
593;Paolo Cardone;paolo.cardone@example.org;Farmacia ospedaliera;Marche;Database DEM;true
594;Ludovica Fumagalli;ludovica.fumagalli@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
595;Marta Piras;marta.piras@example.org;HCP - Medico di medicina generale;Piemonte;Database DEM;true
596;Ilaria Poli;ilaria.poli@example.org;HCP - Medico di medicina generale;Veneto;Database DEM;true
597;Jacopo Moretti;jacopo.moretti@example.org;HCP - Infermiere / Educatore;Lazio;Database DEM;true
598;Emanuele Rossetti;emanuele.rossetti@example.org;HCP - Diabetologo;Campania;Database DEM;true
599;Emanuele Bianco;emanuele.bianco@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
600;Claudia Ruggiero;claudia.ruggiero@example.org;HCP - Infermiere / Educatore;Abruzzo;Database DEM;true
601;Lucia Bacci;lucia.bacci@example.org;HCP - Diabetologo;Lazio;Database DEM;true
602;Federico Colombo;federico.colombo@example.org;HCP - Diabetologo;Toscana;Database DEM;true
603;Davide Greco;davide.greco@example.org;HCP - Diabetologo;Piemonte;Database DEM;true
604;Francesca Ferrara;francesca.ferrara@example.org;HCP - Medico di medicina generale;Lombardia;Database DEM;true
605;Francesco Cristofaro;francesco.cristofaro@example.org;HCP - Endocrinologo;Toscana;Database DEM;true
606;Giuseppe Longo;giuseppe.longo@example.org;HCP - Infermiere / Educatore;Lazio;Database DEM;true
607;Massimo Barbieri;massimo.barbieri@example.org;HCP - Diabetologo;Piemonte;Database DEM;true
608;Alessandro Lombardi;alessandro.lombardi@example.org;Farmacia ospedaliera;Campania;Database DEM;true
609;Lorenzo Conte;lorenzo.conte@example.org;Studio medico / Ambulatorio;Veneto;Database DEM;true
610;Sara Desantis;sara.desantis@example.org;HCP - Medico di medicina generale;Liguria;Database DEM;true
611;Lucia Parisi;lucia.parisi@example.org;HCP - Infermiere / Educatore;Emilia-Romagna;Database DEM;true
612;Alessandro Cerri;alessandro.cerri@example.org;Altro / Industry;Lazio;Database DEM;true
613;Angela Grassi;angela.grassi@example.org;HCP - Infermiere / Educatore;Veneto;Database DEM;true
614;Giulio Rossi;giulio.rossi@example.org;Studio medico / Ambulatorio;Lazio;Database DEM;true
615;Luca Bacci;luca.bacci@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
616;Barbara Pisani;barbara.pisani@example.org;HCP - Diabetologo;Veneto;Database DEM;true
617;Angela Mazza;angela.mazza@example.org;Altro / Industry;Campania;Database DEM;true
618;Chiara Monaco;chiara.monaco@example.org;HCP - Endocrinologo;Emilia-Romagna;Database DEM;true
619;Mariangela Zanini;mariangela.zanini@example.org;Studio medico / Ambulatorio;Emilia-Romagna;Database DEM;true
620;Carlo Orlando;carlo.orlando@example.org;HCP - Diabetologo;Abruzzo;Database DEM;true
621;Anna Bassi;anna.bassi@example.org;Farmacia ospedaliera;Emilia-Romagna;Database DEM;true
622;Daniela Poli;daniela.poli@example.org;Studio medico / Ambulatorio;Piemonte;Database DEM;true
623;Stefano Montanari;stefano.montanari@example.org;HCP - Diabetologo;Campania;Database DEM;true
624;Jacopo Riva;jacopo.riva@example.org;HCP - Endocrinologo;Campania;Database DEM;true
625;Giacomo Landi;giacomo.landi@example.org;HCP - Medico di medicina generale;Lazio;Database DEM;true
626;Susanna Benedetti;susanna.benedetti@example.org;Farmacia ospedaliera;Lombardia;Database DEM;true
627;Giulio Ricci;giulio.ricci@example.org;Studio medico / Ambulatorio;Lazio;Database DEM;true
628;Roberta Milani;roberta.milani@example.org;Farmacia ospedaliera;Lombardia;Database DEM;true
629;Giorgio Melchiorre;giorgio.melchiorre@example.org;HCP - Diabetologo;Campania;Database DEM;true
630;Tommaso Riva;tommaso.riva@example.org;HCP - Diabetologo;Sicilia;Database DEM;true
631;Mariangela Iacobelli;mariangela.iacobelli@example.org;HCP - Infermiere / Educatore;Toscana;Database DEM;true
632;Caterina Moretti;caterina.moretti@example.org;Altro / Industry;Marche;Database DEM;true
633;Giovanni Abbate;giovanni.abbate@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
634;Roberto Valente;roberto.valente@example.org;Studio medico / Ambulatorio;Umbria;Database DEM;true
635;Paola Messina;paola.messina@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
636;Federica Guerra;federica.guerra@example.org;HCP - Diabetologo;Lazio;Database DEM;true
637;Mariangela Monaco;mariangela.monaco@example.org;HCP - Medico di medicina generale;Toscana;Database DEM;true
638;Pietro Pellegrini;pietro.pellegrini@example.org;HCP - Diabetologo;Puglia;Database DEM;true
639;Viola Franco;viola.franco@example.org;HCP - Diabetologo;Lazio;Database DEM;true
640;Roberto Cavallo;roberto.cavallo@example.org;Farmacia ospedaliera;Calabria;Database DEM;true
641;Rosanna Landi;rosanna.landi@example.org;HCP - Endocrinologo;Sicilia;Database DEM;true
642;Angela Poli;angela.poli@example.org;HCP - Infermiere / Educatore;Lombardia;Database DEM;true
643;Tommaso Zanini;tommaso.zanini@example.org;HCP - Medico di medicina generale;Campania;Database DEM;true
644;Angela Milani;angela.milani@example.org;Studio medico / Ambulatorio;Veneto;Database DEM;true
645;Tommaso Giuliani;tommaso.giuliani@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
646;Alessandro Galli;alessandro.galli@example.org;Altro / Industry;Piemonte;Database DEM;true
647;Giulio Pellegrini;giulio.pellegrini@example.org;HCP - Infermiere / Educatore;Toscana;Database DEM;true
648;Giulio Cardone;giulio.cardone@example.org;HCP - Endocrinologo;Sicilia;Database DEM;true
649;Tommaso Esposito;tommaso.esposito@example.org;HCP - Diabetologo;Umbria;Database DEM;true
650;Samuele Serra;samuele.serra@example.org;HCP - Diabetologo;Toscana;Database DEM;true
651;Roberto Vitale;roberto.vitale@example.org;HCP - Endocrinologo;Veneto;Database DEM;true
652;Francesco Valente;francesco.valente@example.org;HCP - Infermiere / Educatore;Piemonte;Database DEM;true
653;Claudia Grassi;claudia.grassi@example.org;Altro / Industry;Marche;Database DEM;true
654;Francesca Morelli;francesca.morelli@example.org;HCP - Medico di medicina generale;Veneto;Database DEM;true
655;Matteo Ferrara;matteo.ferrara@example.org;Farmacia ospedaliera;Lombardia;Database DEM;true
656;Giorgio Caruso;giorgio.caruso@example.org;HCP - Diabetologo;Abruzzo;Database DEM;true
657;Gabriele Parisi;gabriele.parisi@example.org;Studio medico / Ambulatorio;Veneto;Database DEM;true
658;Luca Zanetti;luca.zanetti@example.org;HCP - Diabetologo;Piemonte;Database DEM;true
659;Martina Iacobelli;martina.iacobelli@example.org;HCP - Infermiere / Educatore;Lombardia;Database DEM;true
660;Stefano Poli;stefano.poli@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
661;Carlo Fiore;carlo.fiore@example.org;Altro / Industry;Lombardia;Database DEM;true
662;Giorgia Martini;giorgia.martini@example.org;HCP - Diabetologo;Campania;Database DEM;true
663;Giuseppe Negri;giuseppe.negri@example.org;HCP - Diabetologo;Lazio;Database DEM;true
664;Cristina Rossetti;cristina.rossetti@example.org;HCP - Diabetologo;Puglia;Database DEM;true
665;Giovanni Ferrari;giovanni.ferrari@example.org;HCP - Endocrinologo;Toscana;Database DEM;true
666;Sara Morelli;sara.morelli@example.org;HCP - Diabetologo;Campania;Database DEM;true
667;Federico Grassi;federico.grassi@example.org;HCP - Infermiere / Educatore;Campania;Database DEM;true
668;Martina Testa;martina.testa@example.org;HCP - Diabetologo;Lazio;Database DEM;true
669;Rosanna Franco;rosanna.franco@example.org;HCP - Endocrinologo;Piemonte;Database DEM;true
670;Pietro Agostini;pietro.agostini@example.org;HCP - Endocrinologo;Puglia;Database DEM;true
671;Tommaso Bacci;tommaso.bacci@example.org;HCP - Endocrinologo;Emilia-Romagna;Database DEM;true
672;Tommaso Orlando;tommaso.orlando@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
673;Antonio Toscano;antonio.toscano@example.org;HCP - Infermiere / Educatore;Veneto;Database DEM;true
674;Filippo Martelli;filippo.martelli@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
675;Michela Giordano;michela.giordano@example.org;HCP - Medico di medicina generale;Abruzzo;Database DEM;true
676;Filippo Nardi;filippo.nardi@example.org;HCP - Endocrinologo;Veneto;Database DEM;true
677;Giulia Gentile;giulia.gentile@example.org;Farmacia ospedaliera;Liguria;Database DEM;true
678;Vittorio Longo;vittorio.longo@example.org;HCP - Endocrinologo;Emilia-Romagna;Database DEM;true
679;Mauro Volpe;mauro.volpe@example.org;HCP - Diabetologo;Campania;Database DEM;true
680;Claudia Palmieri;claudia.palmieri@example.org;Farmacia ospedaliera;Lazio;Database DEM;true
681;Laura Ferrara;laura.ferrara@example.org;Studio medico / Ambulatorio;Toscana;Database DEM;true
682;Lorenzo Mariani;lorenzo.mariani@example.org;HCP - Infermiere / Educatore;Lombardia;Database DEM;true
683;Mariangela Ferrara;mariangela.ferrara@example.org;HCP - Infermiere / Educatore;Lazio;Database DEM;true
684;Massimo Rizzo;massimo.rizzo@example.org;HCP - Diabetologo;Veneto;Database DEM;true
685;Sara Leone;sara.leone@example.org;HCP - Infermiere / Educatore;Emilia-Romagna;Database DEM;true
686;Francesca Carbone;francesca.carbone@example.org;HCP - Endocrinologo;Piemonte;Database DEM;true
687;Irene Balestra;irene.balestra@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
688;Caterina Bernardi;caterina.bernardi@example.org;Farmacia ospedaliera;Campania;Database DEM;true
689;Ludovica Fabbri;ludovica.fabbri@example.org;HCP - Infermiere / Educatore;Calabria;Database DEM;true
690;Caterina Esposito;caterina.esposito@example.org;Studio medico / Ambulatorio;Veneto;Database DEM;true
691;Teresa Vitale;teresa.vitale@example.org;HCP - Diabetologo;Friuli-Venezia Giulia;Database DEM;true
692;Andrea Leone;andrea.leone@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
693;Massimo Monaco;massimo.monaco@example.org;Farmacia ospedaliera;Emilia-Romagna;Database DEM;true
694;Susanna Santoro;susanna.santoro@example.org;HCP - Diabetologo;Campania;Database DEM;true
695;Giovanni Galli;giovanni.galli@example.org;HCP - Medico di medicina generale;Marche;Database DEM;true
696;Alessandro Benedetti;alessandro.benedetti@example.org;HCP - Infermiere / Educatore;Campania;Database DEM;true
697;Emanuele Bernardi;emanuele.bernardi@example.org;HCP - Diabetologo;Campania;Database DEM;true
698;Anna Morelli;anna.morelli@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
699;Marco Corsi;marco.corsi@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
700;Roberta Neri;roberta.neri@example.org;Altro / Industry;Lombardia;Database DEM;true
701;Federico Bacci;federico.bacci@example.org;HCP - Endocrinologo;Liguria;Database DEM;true
702;Anna Cristofaro;anna.cristofaro@example.org;Altro / Industry;Veneto;Database DEM;true
703;Rosanna Negri;rosanna.negri@example.org;HCP - Diabetologo;Marche;Database DEM;true
704;Marta Testa;marta.testa@example.org;Direzione sanitaria;Veneto;Database DEM;true
705;Marco Gatti;marco.gatti@example.org;HCP - Diabetologo;Veneto;Database DEM;true
706;Daniele Bonetti;daniele.bonetti@example.org;HCP - Diabetologo;Piemonte;Database DEM;true
707;Monica Bianco;monica.bianco@example.org;Studio medico / Ambulatorio;Lombardia;Database DEM;true
708;Matteo Longo;matteo.longo@example.org;HCP - Endocrinologo;Lazio;Database DEM;true
709;Martina Montanari;martina.montanari@example.org;Farmacia ospedaliera;Lombardia;Database DEM;true
710;Irene Bruno;irene.bruno@example.org;Studio medico / Ambulatorio;Veneto;Database DEM;true
711;Giuseppe Damico;giuseppe.damico@example.org;HCP - Diabetologo;Piemonte;Database DEM;true
712;Mariangela Bianchi;mariangela.bianchi@example.org;HCP - Medico di medicina generale;Veneto;Database DEM;true
713;Michele Cristofaro;michele.cristofaro@example.org;Farmacia ospedaliera;Toscana;Database DEM;true
714;Sabrina Antonelli;sabrina.antonelli@example.org;Direzione sanitaria;Veneto;Database DEM;true
715;Giovanna Poli;giovanna.poli@example.org;Direzione sanitaria;Friuli-Venezia Giulia;Database DEM;true
716;Valentina Benedetti;valentina.benedetti@example.org;HCP - Infermiere / Educatore;Lazio;Database DEM;true
717;Federica Martini;federica.martini@example.org;HCP - Endocrinologo;Campania;Database DEM;true
718;Angela Martelli;angela.martelli@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
719;Gabriele Toscano;gabriele.toscano@example.org;HCP - Infermiere / Educatore;Lombardia;Database DEM;true
720;Samuele Bianchi;samuele.bianchi@example.org;HCP - Medico di medicina generale;Veneto;Database DEM;true
721;Filippo Volpe;filippo.volpe@example.org;HCP - Diabetologo;Lazio;Database DEM;true
722;Tommaso Poli;tommaso.poli@example.org;HCP - Diabetologo;Marche;Database DEM;true
723;Raffaella Franco;raffaella.franco@example.org;HCP - Infermiere / Educatore;Lombardia;Database DEM;true
724;Giovanna Bianco;giovanna.bianco@example.org;Studio medico / Ambulatorio;Puglia;Database DEM;true
725;Gabriele Pellegrini;gabriele.pellegrini@example.org;HCP - Medico di medicina generale;Campania;Database DEM;true
726;Valentina Antonelli;valentina.antonelli@example.org;HCP - Infermiere / Educatore;Piemonte;Database DEM;true
727;Samuele Silvestri;samuele.silvestri@example.org;HCP - Medico di medicina generale;Lazio;Database DEM;true
728;Vittorio Orlando;vittorio.orlando@example.org;Studio medico / Ambulatorio;Piemonte;Database DEM;true
729;Giulio Balestra;giulio.balestra@example.org;HCP - Diabetologo;Marche;Database DEM;true
730;Beatrice Donati;beatrice.donati@example.org;HCP - Medico di medicina generale;Piemonte;Database DEM;true
731;Matteo Mazza;matteo.mazza@example.org;Direzione sanitaria;Lazio;Database DEM;true
732;Jacopo Caruso;jacopo.caruso@example.org;HCP - Diabetologo;Marche;Database DEM;true
733;Monica Colombo;monica.colombo@example.org;Studio medico / Ambulatorio;Puglia;Database DEM;true
734;Francesca Fabbri;francesca.fabbri@example.org;HCP - Endocrinologo;Emilia-Romagna;Database DEM;true
735;Tommaso Neri;tommaso.neri@example.org;HCP - Infermiere / Educatore;Emilia-Romagna;Database DEM;true
736;Marco Ruggiero;marco.ruggiero@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
737;Valentina Rossetti;valentina.rossetti@example.org;Studio medico / Ambulatorio;Veneto;Database DEM;true
738;Valeria Cardone;valeria.cardone@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
739;Marta Negri;marta.negri@example.org;Studio medico / Ambulatorio;Sicilia;Database DEM;true
740;Massimo Pisani;massimo.pisani@example.org;Altro / Industry;Lombardia;Database DEM;true
741;Riccardo Valente;riccardo.valente@example.org;Farmacia ospedaliera;Lazio;Database DEM;true
742;Sara Bellini;sara.bellini@example.org;Farmacia ospedaliera;Liguria;Database DEM;true
743;Sofia Grassi;sofia.grassi@example.org;HCP - Infermiere / Educatore;Veneto;Database DEM;true
744;Tommaso Cattaneo;tommaso.cattaneo@example.org;HCP - Medico di medicina generale;Abruzzo;Database DEM;true
745;Giorgio Bonetti;giorgio.bonetti@example.org;Farmacia ospedaliera;Campania;Database DEM;true
746;Sofia Neri;sofia.neri@example.org;HCP - Diabetologo;Puglia;Database DEM;true
747;Anna Marchetti;anna.marchetti@example.org;Direzione sanitaria;Lombardia;Database DEM;true
748;Viola Parisi;viola.parisi@example.org;HCP - Endocrinologo;Emilia-Romagna;Database DEM;true
749;Tommaso Marchetti;tommaso.marchetti@example.org;Studio medico / Ambulatorio;Lombardia;Database DEM;true
750;Giulia Manfredi;giulia.manfredi@example.org;HCP - Medico di medicina generale;Toscana;Database DEM;true
751;Margherita Martelli;margherita.martelli@example.org;Farmacia ospedaliera;Veneto;Database DEM;true
752;Mauro Zanetti;mauro.zanetti@example.org;Direzione sanitaria;Lazio;Database DEM;true
753;Maria Monaco;maria.monaco@example.org;HCP - Endocrinologo;Toscana;Database DEM;true
754;Lucia Ruggiero;lucia.ruggiero@example.org;HCP - Infermiere / Educatore;Puglia;Database DEM;true
755;Susanna Vitale;susanna.vitale@example.org;Studio medico / Ambulatorio;Calabria;Database DEM;true
756;Filippo Cattaneo;filippo.cattaneo@example.org;Altro / Industry;Campania;Database DEM;true
757;Viola Denicola;viola.denicola@example.org;Direzione sanitaria;Sardegna;Database DEM;true
758;Nicola Abbate;nicola.abbate@example.org;HCP - Infermiere / Educatore;Sardegna;Database DEM;true
759;Giacomo Rizzo;giacomo.rizzo@example.org;HCP - Infermiere / Educatore;Lombardia;Database DEM;true
760;Nicola Russo;nicola.russo@example.org;Direzione sanitaria;Campania;Database DEM;true
761;Paolo Montanari;paolo.montanari@example.org;HCP - Diabetologo;Lazio;Database DEM;true
762;Viola Giordano;viola.giordano@example.org;Direzione sanitaria;Lazio;Database DEM;true
763;Marco Salerno;marco.salerno@example.org;HCP - Diabetologo;Abruzzo;Database DEM;true
764;Giorgia Ariemma;giorgia.ariemma@example.org;HCP - Diabetologo;Campania;Database DEM;true
765;Davide Rossetti;davide.rossetti@example.org;HCP - Infermiere / Educatore;Abruzzo;Database DEM;true
766;Gabriele Cavallo;gabriele.cavallo@example.org;HCP - Endocrinologo;Sicilia;Database DEM;true
767;Claudio Greco;claudio.greco@example.org;HCP - Medico di medicina generale;Lombardia;Database DEM;true
768;Filippo Denicola;filippo.denicola@example.org;HCP - Infermiere / Educatore;Lazio;Database DEM;true
769;Andrea Melchiorre;andrea.melchiorre@example.org;HCP - Endocrinologo;Emilia-Romagna;Database DEM;true
770;Pietro Gallo;pietro.gallo@example.org;HCP - Diabetologo;Veneto;Database DEM;true
771;Alessandro Sanna;alessandro.sanna@example.org;HCP - Diabetologo;Veneto;Database DEM;true
772;Silvia Riva;silvia.riva@example.org;HCP - Infermiere / Educatore;Sicilia;Database DEM;true
773;Valentina Sala;valentina.sala@example.org;HCP - Diabetologo;Lazio;Database DEM;true
774;Andrea Pellegrini;andrea.pellegrini@example.org;HCP - Diabetologo;Toscana;Database DEM;true
775;Vittorio Martini;vittorio.martini@example.org;Altro / Industry;Veneto;Database DEM;true
776;Gianluca Denicola;gianluca.denicola@example.org;HCP - Endocrinologo;Puglia;Database DEM;true
777;Giovanni Zanetti;giovanni.zanetti@example.org;Studio medico / Ambulatorio;Emilia-Romagna;Database DEM;true
778;Vittorio Bassi;vittorio.bassi@example.org;Studio medico / Ambulatorio;Calabria;Database DEM;true
779;Susanna Toscano;susanna.toscano@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
780;Carlo Costa;carlo.costa@example.org;HCP - Diabetologo;Campania;Database DEM;true
781;Francesca Valente;francesca.valente@example.org;HCP - Infermiere / Educatore;Puglia;Database DEM;true
782;Nicola Sartori;nicola.sartori@example.org;Studio medico / Ambulatorio;Emilia-Romagna;Database DEM;true
783;Maria Antonelli;maria.antonelli@example.org;Studio medico / Ambulatorio;Lombardia;Database DEM;true
784;Carlo Testa;carlo.testa@example.org;HCP - Diabetologo;Piemonte;Database DEM;true
785;Teresa Martini;teresa.martini@example.org;HCP - Medico di medicina generale;Campania;Database DEM;true
786;Valeria Melchiorre;valeria.melchiorre@example.org;HCP - Infermiere / Educatore;Marche;Database DEM;true
787;Angela Leone;angela.leone@example.org;HCP - Diabetologo;Lazio;Database DEM;true
788;Sofia Mariani;sofia.mariani@example.org;HCP - Infermiere / Educatore;Puglia;Database DEM;true
789;Caterina Benedetti;caterina.benedetti@example.org;HCP - Medico di medicina generale;Piemonte;Database DEM;true
790;Mariangela Sala;mariangela.sala@example.org;HCP - Diabetologo;Piemonte;Database DEM;true
791;Sofia Fabbri;sofia.fabbri@example.org;HCP - Medico di medicina generale;Lazio;Database DEM;true
792;Lorenzo Greco;lorenzo.greco@example.org;HCP - Diabetologo;Piemonte;Database DEM;true
793;Beatrice Bonetti;beatrice.bonetti@example.org;HCP - Infermiere / Educatore;Campania;Database DEM;true
794;Vittorio Giuliani;vittorio.giuliani@example.org;HCP - Diabetologo;Piemonte;Database DEM;true
795;Luigi Bianco;luigi.bianco@example.org;HCP - Diabetologo;Toscana;Database DEM;true
796;Valentina Bonetti;valentina.bonetti@example.org;Farmacia ospedaliera;Lazio;Database DEM;true
797;Barbara Bianco;barbara.bianco@example.org;Studio medico / Ambulatorio;Lombardia;Database DEM;true
798;Teresa Abbate;teresa.abbate@example.org;Studio medico / Ambulatorio;Lombardia;Database DEM;true
799;Jacopo Marchetti;jacopo.marchetti@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
800;Claudio Volpe;claudio.volpe@example.org;Farmacia ospedaliera;Campania;Database DEM;true
801;Nicola Rossi;nicola.rossi@example.org;HCP - Endocrinologo;Lazio;Database DEM;true
802;Vincenzo Gentile;vincenzo.gentile@example.org;HCP - Diabetologo;Sicilia;Database DEM;true
803;Teresa Carbone;teresa.carbone@example.org;HCP - Diabetologo;Campania;Database DEM;true
804;Marta Gatti;marta.gatti@example.org;HCP - Infermiere / Educatore;Lombardia;Database DEM;true
805;Roberta Antonelli;roberta.antonelli@example.org;HCP - Diabetologo;Lazio;Database DEM;true
806;Valentina Lombardi;valentina.lombardi@example.org;HCP - Diabetologo;Lazio;Database DEM;true
807;Riccardo Desantis;riccardo.desantis@example.org;Direzione sanitaria;Puglia;Database DEM;true
808;Emanuele Giordano;emanuele.giordano@example.org;HCP - Medico di medicina generale;Puglia;Database DEM;true
809;Giovanni Cavallo;giovanni.cavallo@example.org;Studio medico / Ambulatorio;Sardegna;Database DEM;true
810;Pietro Ruggiero;pietro.ruggiero@example.org;Farmacia ospedaliera;Toscana;Database DEM;true
811;Barbara Melchiorre;barbara.melchiorre@example.org;HCP - Diabetologo;Sicilia;Database DEM;true
812;Susanna Lorenzi;susanna.lorenzi@example.org;Studio medico / Ambulatorio;Sicilia;Database DEM;true
813;Tommaso Antonelli;tommaso.antonelli@example.org;HCP - Diabetologo;Sardegna;Database DEM;true
814;Valentina Neri;valentina.neri@example.org;HCP - Infermiere / Educatore;Piemonte;Database DEM;true
815;Serena Pesce;serena.pesce@example.org;Studio medico / Ambulatorio;Veneto;Database DEM;true
816;Angela Sorrentino;angela.sorrentino@example.org;HCP - Diabetologo;Veneto;Database DEM;true
817;Davide Lombardi;davide.lombardi@example.org;HCP - Endocrinologo;Calabria;Database DEM;true
818;Serena Farina;serena.farina@example.org;HCP - Diabetologo;Sardegna;Database DEM;true
819;Antonio Pellegrini;antonio.pellegrini@example.org;HCP - Diabetologo;Umbria;Database DEM;true
820;Tommaso Ariemma;tommaso.ariemma@example.org;HCP - Infermiere / Educatore;Puglia;Database DEM;true
821;Federico Caruso;federico.caruso@example.org;HCP - Infermiere / Educatore;Sicilia;Database DEM;true
822;Rosanna Innocenti;rosanna.innocenti@example.org;HCP - Infermiere / Educatore;Piemonte;Database DEM;true
823;Rosanna Pellegrini;rosanna.pellegrini@example.org;HCP - Endocrinologo;Campania;Database DEM;true
824;Maria Ariemma;maria.ariemma@example.org;HCP - Infermiere / Educatore;Lazio;Database DEM;true
825;Antonio Nardi;antonio.nardi@example.org;HCP - Infermiere / Educatore;Campania;Database DEM;true
826;Anna Bernardi;anna.bernardi@example.org;Altro / Industry;Lombardia;Database DEM;true
827;Luca Bianco;luca.bianco@example.org;HCP - Infermiere / Educatore;Veneto;Database DEM;true
828;Davide Desantis;davide.desantis@example.org;HCP - Diabetologo;Umbria;Database DEM;true
829;Laura Longo;laura.longo@example.org;Farmacia ospedaliera;Toscana;Database DEM;true
830;Carlo Marini;carlo.marini@example.org;Altro / Industry;Lazio;Database DEM;true
831;Claudio Esposito;claudio.esposito@example.org;Altro / Industry;Calabria;Database DEM;true
832;Irene Carbone;irene.carbone@example.org;HCP - Medico di medicina generale;Lombardia;Database DEM;true
833;Luigi Abbate;luigi.abbate@example.org;HCP - Diabetologo;Campania;Database DEM;true
834;Francesco Damico;francesco.damico@example.org;HCP - Infermiere / Educatore;Emilia-Romagna;Database DEM;true
835;Simone Bassi;simone.bassi@example.org;Studio medico / Ambulatorio;Lazio;Database DEM;true
836;Teresa Martelli;teresa.martelli@example.org;HCP - Diabetologo;Puglia;Database DEM;true
837;Ludovica Desantis;ludovica.desantis@example.org;HCP - Diabetologo;Liguria;Database DEM;true
838;Pietro Vitale;pietro.vitale@example.org;HCP - Diabetologo;Abruzzo;Database DEM;true
839;Valeria Moretti;valeria.moretti@example.org;HCP - Infermiere / Educatore;Campania;Database DEM;true
840;Lorenzo Cardone;lorenzo.cardone@example.org;HCP - Diabetologo;Sicilia;Database DEM;true
841;Manuela Cristofaro;manuela.cristofaro@example.org;HCP - Infermiere / Educatore;Abruzzo;Database DEM;true
842;Paola Denicola;paola.denicola@example.org;HCP - Diabetologo;Lazio;Database DEM;true
843;Monica Mazza;monica.mazza@example.org;HCP - Infermiere / Educatore;Toscana;Database DEM;true
844;Riccardo Bianco;riccardo.bianco@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
845;Barbara Morelli;barbara.morelli@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
846;Emanuele Bonetti;emanuele.bonetti@example.org;Direzione sanitaria;Piemonte;Database DEM;true
847;Jacopo Iacobelli;jacopo.iacobelli@example.org;Farmacia ospedaliera;Veneto;Database DEM;true
848;Sabrina Morelli;sabrina.morelli@example.org;HCP - Infermiere / Educatore;Piemonte;Database DEM;true
849;Elisa Denicola;elisa.denicola@example.org;Studio medico / Ambulatorio;Emilia-Romagna;Database DEM;true
850;Luigi Carbone;luigi.carbone@example.org;HCP - Medico di medicina generale;Campania;Database DEM;true
